wojewodztwo,liczba_przypadkow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na,liczba_ozdrowiencow
Cały kraj,10141,2.64,540.0,55.0,485.0,40085.0,348135,47540,11502,34425,1613,t00,2020-11-23,0.0
dolnośląskie,1033,3.56,51.0,1.0,50.0,3060.0,27474,4161,1162,2864,135,t02,2020-11-23,0.0
kujawsko-pomorskie,529,2.56,17.0,0.0,17.0,2982.0,20381,2691,603,2034,54,t04,2020-11-23,0.0
lubelskie,671,3.19,8.0,2.0,6.0,2216.0,19016,2280,757,1489,34,t06,2020-11-23,0.0
lubuskie,267,2.64,14.0,5.0,9.0,1199.0,10727,1084,305,743,36,t08,2020-11-23,0.0
łódzkie,561,2.29,39.0,10.0,29.0,2517.0,20721,3067,658,2304,105,t10,2020-11-23,0.0
małopolskie,489,1.43,64.0,19.0,45.0,2072.0,22873,3614,584,2913,117,t12,2020-11-23,0.0
mazowieckie,1181,2.18,51.0,1.0,50.0,5425.0,46914,5979,1453,4293,233,t14,2020-11-23,0.0
opolskie,514,5.24,24.0,0.0,24.0,1096.0,11191,1390,536,803,51,t16,2020-11-23,0.0
podkarpackie,540,2.54,13.0,3.0,10.0,1241.0,15080,2377,577,1768,32,t18,2020-11-23,0.0
podlaskie,309,2.63,19.0,0.0,19.0,1187.0,10479,1236,335,895,6,t20,2020-11-23,0.0
pomorskie,989,4.21,35.0,3.0,32.0,2682.0,24695,3711,1101,2395,215,t22,2020-11-23,0.0
śląskie,944,2.09,77.0,3.0,74.0,4350.0,37631,4738,1070,3553,115,t24,2020-11-23,0.0
świętokrzyskie,359,2.92,17.0,0.0,17.0,832.0,8674,1381,387,904,90,t26,2020-11-23,0.0
warmińsko-mazurskie,476,3.35,31.0,2.0,29.0,2457.0,16286,1866,522,1297,47,t28,2020-11-23,0.0
wielkopolskie,649,1.85,41.0,1.0,40.0,4460.0,39282,2782,734,1962,86,t30,2020-11-23,0.0
zachodniopomorskie,460,2.72,39.0,5.0,34.0,2309.0,16711,1841,522,1260,59,t32,2020-11-23,0.0
Cały kraj,15360,4.0,674.0,152.0,522.0,23488.0,341659,54288,16672,36105,1511,t00,2020-11-24,0.0
dolnośląskie,820,2.83,37.0,21.0,16.0,1788.0,27332,3671,935,2643,93,t02,2020-11-24,0.0
kujawsko-pomorskie,1327,6.41,35.0,13.0,22.0,1727.0,20641,4925,1380,3449,96,t04,2020-11-24,0.0
lubelskie,939,4.46,52.0,3.0,49.0,1177.0,18522,2803,1063,1637,103,t06,2020-11-24,0.0
lubuskie,506,5.01,8.0,2.0,6.0,623.0,10579,1608,597,951,60,t08,2020-11-24,0.0
łódzkie,1007,4.11,60.0,24.0,36.0,1528.0,20498,3813,1089,2647,77,t10,2020-11-24,0.0
małopolskie,951,2.79,86.0,28.0,58.0,1197.0,21682,4999,1062,3793,144,t12,2020-11-24,0.0
mazowieckie,1586,2.92,94.0,11.0,83.0,3459.0,46905,6598,1791,4565,242,t14,2020-11-24,0.0
opolskie,466,4.75,39.0,2.0,37.0,619.0,10814,1380,503,841,36,t16,2020-11-24,0.0
podkarpackie,589,2.77,36.0,3.0,33.0,754.0,14455,2201,632,1526,43,t18,2020-11-24,0.0
podlaskie,449,3.82,13.0,0.0,13.0,672.0,9938,1236,469,756,11,t20,2020-11-24,0.0
pomorskie,1138,4.85,25.0,22.0,3.0,1705.0,24216,3486,1215,2124,147,t22,2020-11-24,0.0
śląskie,1938,4.3,53.0,4.0,49.0,2450.0,36339,6163,2058,3995,110,t24,2020-11-24,0.0
świętokrzyskie,301,2.45,19.0,7.0,12.0,438.0,8485,1289,326,911,52,t26,2020-11-24,0.0
warmińsko-mazurskie,860,6.05,34.0,4.0,30.0,1363.0,16321,2348,894,1379,75,t28,2020-11-24,0.0
wielkopolskie,1418,4.05,66.0,6.0,60.0,2513.0,38161,4346,1481,2750,115,t30,2020-11-24,0.0
zachodniopomorskie,1014,5.99,17.0,2.0,15.0,1474.0,16771,3049,1121,1838,90,t32,2020-11-24,0.0
Cały kraj,16846,4.39,580.0,78.0,502.0,21671.0,345501,57120,18161,37467,1492,t00,2020-11-25,0.0
dolnośląskie,1117,3.85,51.0,8.0,43.0,1569.0,27224,4439,1237,3114,88,t02,2020-11-25,0.0
kujawsko-pomorskie,1213,5.86,24.0,1.0,23.0,1514.0,21659,4275,1282,2876,117,t04,2020-11-25,0.0
lubelskie,1027,4.88,30.0,5.0,25.0,1225.0,18998,3098,1124,1894,80,t06,2020-11-25,0.0
lubuskie,510,5.05,7.0,3.0,4.0,581.0,10585,1576,540,994,42,t08,2020-11-25,0.0
łódzkie,1106,4.52,37.0,8.0,29.0,1309.0,21008,4195,1208,2909,78,t10,2020-11-25,0.0
małopolskie,917,2.69,40.0,14.0,26.0,1152.0,21527,4567,1030,3411,126,t12,2020-11-25,0.0
mazowieckie,1788,3.29,74.0,4.0,70.0,3222.0,47183,7510,1993,5232,285,t14,2020-11-25,0.0
opolskie,587,5.99,23.0,0.0,23.0,571.0,10787,1530,637,849,44,t16,2020-11-25,0.0
podkarpackie,752,3.54,69.0,10.0,59.0,651.0,13468,2435,811,1591,33,t18,2020-11-25,0.0
podlaskie,467,3.97,24.0,3.0,21.0,613.0,10151,1223,495,717,11,t20,2020-11-25,0.0
pomorskie,1112,4.74,32.0,5.0,27.0,1599.0,24479,3486,1197,2171,118,t22,2020-11-25,0.0
śląskie,1860,4.13,69.0,3.0,66.0,2325.0,36562,6239,1988,4101,150,t24,2020-11-25,0.0
świętokrzyskie,471,3.83,10.0,0.0,10.0,412.0,8312,1608,491,1025,92,t26,2020-11-25,0.0
warmińsko-mazurskie,1212,8.53,22.0,3.0,19.0,1304.0,17505,2871,1273,1512,86,t28,2020-11-25,0.0
wielkopolskie,1671,4.77,45.0,8.0,37.0,2314.0,38563,4648,1754,2832,62,t30,2020-11-25,0.0
zachodniopomorskie,994,5.87,23.0,3.0,20.0,1310.0,17489,2966,1051,1852,63,t32,2020-11-25,0.0
Cały kraj,17059,4.45,579.0,112.0,467.0,20906.0,345333,63763,18247,43628,1888,t00,2020-11-26,0.0
dolnośląskie,1319,4.55,65.0,12.0,53.0,1507.0,26958,4971,1403,3436,132,t02,2020-11-26,0.0
kujawsko-pomorskie,1366,6.6,30.0,0.0,30.0,1635.0,22038,4511,1422,2869,220,t04,2020-11-26,0.0
lubelskie,801,3.81,37.0,11.0,26.0,1111.0,19142,2898,870,1977,51,t06,2020-11-26,0.0
